A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
9.1738,1.566,1.7528,6.8506,7.1068,PL
9.4208,1.6646,1.7808,7.6599,7.8799,PL
8.6288,1.7309,1.795,7.0007,7.0637,PL
9.3012,1.5411,1.7483,6.1761,6.8539,PL
9.6332,1.8144,2.2735,6.6495,7.0257,PL
9.8723,1.4767,1.4767,7.6498,8.1206,PL
9.0064,1.9904,2.0693,6.5475,6.884,PL
9.5577,3.4123,1.9526,6.7861,7.2941,PL
9.16,1.6564,1.7253,6.8321,6.8268,PL
8.86,1.4767,1.4927,5.8292,6.2572,PL
9.9101,1.5096,2.3513,6.5194,7.2158,PL
8.8475,1.8632,2.0366,6.3279,6.6216,PL
9.4326,1.7534,1.8866,6.3041,6.7385,PL
9.0321,1.4731,2.8661,5.6716,6.3331,PL
9.3884,1.4927,1.5046,6.7178,7.0257,PL
9.1573,1.5111,1.5252,5.8559,6.6933,PL
9.2594,1.626,1.6714,6.4489,6.8227,PL
9.0105,1.8198,1.9695,6.278,6.6267,PL
9.3421,1.4957,1.495,6.9627,7.2916,PL
9.4686,1.5129,1.4999,6.8171,7.1651,PL
9.1916,2.0905,2.2824,6.976,6.9051,PL
9.2405,1.4731,2.2092,7.0378,6.709,PL
8.9742,1.4767,1.5479,5.9742,6.5061,PL
9.0812,1.5831,1.5612,6.5825,7.1238,PL
9.3421,1.7976,2.2208,6.6663,6.9535,PL
9.4371,1.9852,2.1911,6.8033,7.0208,PL
9.3651,1.8866,2.1944,6.4974,6.9208,PL
9.897,1.7663,1.8979,7.1171,7.6635,PL
9.5809,1.842,1.9718,7.4332,7.2522,PL
10.0688,1.4731,1.9952,6.6895,7.1917,PL
9.669,1.77,1.7291,6.5711,7.0458,PL
9.9365,1.5572,1.6737,7.218,7.1929,PL
9.8719,1.4731,2.0799,6.4502,6.953,PL
9.6568,1.507,1.5227,6.3129,7.0735,PL
9.8758,1.557,1.5202,7.0043,7.0498,PL
9.0547,1.6323,1.5585,6.241,6.74,PL
8.9144,1.679,1.9541,6.4035,6.577,PL
9.4498,1.5173,1.7456,6.3254,6.9236,PL
9.2327,1.6636,1.6184,6.4173,7.1369,PL
9.86,1.4767,1.4767,7.3795,7.5584,PL
9.4665,1.5296,1.8166,7.1196,7.0514,PL
9.5216,1.5139,1.7347,6.7382,6.8835,PL
9.8625,1.4731,1.4731,6.1542,7.0831,PL
9.8918,1.5345,1.567,7.0013,7.3265,PL
9.5552,1.4731,1.4731,6.5575,7.0541,PL
9.5444,1.8401,1.9929,7.0712,7.3764,PL
9.738,1.6304,2.0061,6.5637,7.1068,PL
9.7131,1.495,1.529,6.3159,6.9158,PL
9.7502,1.4767,1.6499,6.4299,7.1022,PL
9.3038,1.835,1.8724,6.418,6.7717,PL
8.9006,1.5522,1.5268,5.7384,6.578,PL
9.8262,1.4767,2.9492,7.4967,7.2781,PL
10.0485,1.4731,1.4767,7.2371,7.7406,PL
9.2083,2.0111,2.1019,6.9021,7.1857,PL
9.4037,1.4767,2.7194,6.0172,6.6509,PL
9.2782,1.5523,1.9136,6.7259,7.0926,PL
9.0494,1.4767,1.8237,6.232,6.4148,PL
9.3913,1.5782,1.5465,7.1527,7.2634,PL
9.3768,1.5187,1.5407,6.1274,6.9195,PL
8.8888,1.5163,1.9192,4.928,5.962,PL
9.4315,1.625,1.6563,6.8707,7.1881,PL
10.0943,1.6604,1.6668,7.6131,7.9756,PL
9.1092,1.5227,1.6837,6.0245,6.3384,PL
9.1173,1.535,1.4731,6.6704,6.9835,PL
9.7566,1.6898,1.5826,7.9029,8.029,PL
8.8368,1.4767,1.6055,5.8142,6.4862,PL
9.485,1.5336,2.4267,6.9131,7.2262,PL
9.4679,1.8469,2.0405,6.8914,7.1872,PL
9.4341,1.535,1.5765,6.7776,7.2578,PL
9.7301,1.5645,1.72,7.1636,7.5066,PL
9.8272,1.625,1.5856,7.3708,7.4723,PL
9.3359,1.7105,1.8875,7.0758,6.942,PL
